ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL463356W,Dead cert,Dick Francis,1962,Canelo,9782070431229,Paperback,rus,https://openlibrary.org/books/OL47756540M
ol_OL5819884W,Brisingr,Christopher Paolini,1998,Rizzoli,9789895575589,Paperback,vie,https://openlibrary.org/books/OL50546464M
ol_OL15029001W,1Q84,村上春樹,2009,labutxaca,8579621801,Paperback,rus,https://openlibrary.org/books/OL53592668M
ol_OL1846846W,The Poisonwood Bible,Barbara Kingsolver,1998,Brilliance Audio on CD Unabridged Lib Ed,159355950X,Paperback,eng,https://openlibrary.org/books/OL8872350M
ol_OL479072W,Never Cry Wolf,Farley Mowat,1963,Farely Mowat,0553203312,Paperback,spa,https://openlibrary.org/books/OL51288757M
ol_OL464512W,Wolf Hall,Hilary Mantel,2009,4th Estate,1554687780,Paperback,spa,https://openlibrary.org/books/OL47378832M
ol_OL52955W,Persuader,Lee Child,2003,Bantam Books,9781469265490,Paperback,pol,https://openlibrary.org/books/OL43638585M
ol_OL11822690W,Paper towns,John Green,2008,"Hanser, Carl Gmbh + Co.",2070622436,Paperback,pol,https://openlibrary.org/books/OL39616950M
ol_OL5819886W,Eldest,Christopher Paolini,2005,Jieli Publishing House,9780375926709,Paperback,spa,https://openlibrary.org/books/OL52948939M
ol_OL4092687W,Why shoot a butler?,Georgette Heyer,1933,Econ Tb.,052523375X,Paperback,ger,https://openlibrary.org/books/OL27364150M
ol_OL76959W,The Appeal,John Grisham,2008,Heyne Verlag,9781844138555,Paperback,fre,https://openlibrary.org/books/OL37044319M
ol_OL17116910W,The Nightingale,Kristin Hannah,2000,St. Martin's Griffin,9781628995015,Paperback,spa,https://openlibrary.org/books/OL35381401M
ol_OL15936512W,Ready Player One,Ernest Cline,2008,Feeria,1529135354,Paperback,srp,https://openlibrary.org/books/OL57798109M
ol_OL15183119W,The Red Pyramid,Rick Riordan,2010,,8490434387,Paperback,chi,https://openlibrary.org/books/OL25983673M
ol_OL149188W,The Running Man,Stephen King,1982,Albin Michel,1481539108,Paperback,dut,https://openlibrary.org/books/OL47350381M
ol_OL679348W,The Graveyard Book,Neil Gaiman,2008,Rocabolsillo,9780061972652,Paperback,eng,https://openlibrary.org/books/OL57082365M
ol_OL15374110W,"Full Dark, No Stars",Stephen King,2010,Scribner,9788376593593,Paperback,dut,https://openlibrary.org/books/OL47407657M
ol_OL453852W,Thud!,Terry Pratchett,2005,Kou ying jing xiao,9780552216425,Paperback,eng,https://openlibrary.org/books/OL57506494M
ol_OL41249W,Stone Cold,David Baldacci,2007,Pan Macmillan,9780446598118,Paperback,dut,https://openlibrary.org/books/OL51688168M
ol_OL11375139W,Hold the dream,Barbara Taylor Bradford,1625,HarperCollins Publishers Ltd,9788820005474,Paperback,ita,https://openlibrary.org/books/OL26437164M
ol_OL52946W,Tripwire,Lee Child,1999,"EKSMO, M",0515143073,Paperback,dut,https://openlibrary.org/books/OL45990539M
ol_OL257948W,A Feast for Crows,George R. R. Martin,2005,Ulisses Spiel & Medien,9780007447862,Paperback,pol,https://openlibrary.org/books/OL40209099M
ol_OL16325201W,Insurgent,Veronica Roth,2011,Katherine Tegen Books,9780062387745,Paperback,eng,https://openlibrary.org/books/OL52387952M
